summary,sentiment,keywords
" In this podcast, Motley Fool analyst Jason Moser and host Ricky Mulvey discuss: WhyApplecould lose the ""easiest $20 billion"" from anyAlphabetbreakup . Bill Ackman's hedge fund,Pershing Square, buying a 20% stake in Hertz, answers listener questions about tariffs, capital accumulation plans, and 401(k)s .  Stock Advisor’s total average return is 829% — a market-crushing outperformance compared to155% for the S&P 500 . Don’t miss out on the latest top 10 list, available when you joinStock Advisor .  Last year, a US district judge ruled that Google maintained an illegal monopoly in online search . Now they're figuring out what to do about it . Google pays billions and billions of dollars to be the default search engine on Apple .  Google Chrome holds the largest share of the global browser market with approximately 66% of users worldwide . Sales of Google Chrome would be a real attention getter . Google habits are tough to break, and a lot of us use Google because it's so ingrained .  Ricky Mulvey: It does really speak to what Google has been able to achieve over the last decades, just becoming the search engine of choice for most. of course. But I think some out there would certainly find ways to benefit .  Google is essentially forbidden from making the deals and investments required to keep winning, Moser says . Moser: ""I'm not one to hold a company's success against it. I think I encourage that""  Apple could lose the easiest $20 billion that a company can make. That's what Google pays Apple to be the default search engine. But there's a lot of other big tech observers seeing what's happening here. What ripple effects are you watching?  Ricky Mulvey: I think these are the signs that Big Tech is really under the microscope . Ricky: It's going to be very interesting to follow how all of these companies fall into these anti-trust examinations because it's not like Google is doing anything that a lot of companies aren't .  GM's Mary Barra has to make a $35 billion EV bet work in Trump's America . Ricky Mulvey: If that agreement goes away, Apple has got a number of different ways to make their money . Jason Moser: If you have an impact like that, and it slows down the growth story even more for investors .  GM is investing heavily in its own battery technology and ultium . Ricky Mulvey: GM doesn't like the way incentives are structured for EV leases are structured . Ricky: There's stuff going on in this market, especially in Colorado that's just weird . Jason Moser: GM is trying to drive down costs and increase production efficiency .  Jason Moser: Even when I was getting that, I was like, There's no way this thing is going to last forever. This really doesn't feel sustainable, but there's a lot of work going on behind the scenes . Ricky Mulvey: You're doing what you can to get it out there, create demand, and then hopefully down the road, consumers see the virtue, the value .  There are a lot of upfront costs that come with developing these vehicles and ultimately getting them out to market . Battery costs, of course, have always been a real issue, and those costs are coming down . They want to be seen as a credible EV provider, and that just takes time to do .  There's a bank shot here, which is that as Elon Musk becomes more politically divisive, fewer people tend to be buying Teslas . At the same time, last year, General Motors went from 6% of the EV market share in the United States at the beginning of 2024 to 12% by the end .  Musk's actions have had an impact on the business over the last year or so. significantly, and that's compared to, I think, around 24% with an actual positive or 27% . I think that really shows the dangers of business leaders wearing their politics on their sleeves. You just got to understand that does come with a cost.  As an automaker, you want to be able to open yourself up to the widest market possible . It's not going to be all EVs and no gas. Maybe years from now, that'll be the case. But I think today we're looking at some folks want EVs, some want hybrids .  Bill Ackman's hedge fund is buying up about 20% of Hertz . Ricky Mulvey: It's just I'm not really an auto stock guy. I love my car. To me, autos aren't the most exciting market opportunity .  Ackman sees Hertz as a $30 stock . Ackman feels like there's a return to what he called rational consumer behavior . Ricky Mulvey: Ackman likes posting on X.com and gives out his thesis .  Ricky Mulvey: Any advice to retail investors that want to tail this investor on a turnaround story? Jason Moser: ""It's always worth your while to do your own work and come to your own decisions"" Ricky: ""This isn't a company that he plans to hold onto for a long time. It seems more of a value thesis, where he sees a short term catalyst maybe offering an attractive risk reward situation""  Robert Brokamp answers some of the questions you emailed us about tariffs, 401(k)s, and backdoor Roths . Ricky Mulvey: The first question comes from Fool Up North .  US Customs and Border Protection, otherwise known as CBP, classifies the item and assesses any tariffs . CBP employs more than 60,000 people to monitor the 320 official ports of entry into the US .  The tariff is paid by the company that imports the goods, which most often is a US company . The foreign company that made the item does not pay the tariff . The money goes to the US Treasury and goes into what's called the general fund .  Anonymous, you are not a lesser Fool, but we will still answer your question . Anonymous: Can you explain more about what a backdoor Roth IRA contribution is? Robert Brokamp: That is very true .  If you make too much to contribute directly to a Roth IRA, you might consider doing what's known as the backdoor Roth . You contribute to a nondeductible, traditional IRA, and then very soon after you convert it to Roth . There are really little to no tax consequences if that's your only traditional IRA .  Money in a 401(k) is not considered when it comes to the pro rata rules for IRA conversions . If you do a Roth conversion, even if it's in just one of your many IRAs, 10% will be tax free but 90% is taxable .  Can a parent open Roth IRAs for grandparents with a grandson as the beneficiary, then use that money to pay for college? Robert Brokamp: No. They could do it if they have earned income, and that is income from a job, so not interest, dividends, capital gain, Social Security, pension, anything like that .  401(k), Roth IRA can be withdrawn, tax and penalty free at any time . IRAs can be used for qualified higher education expenses for the IRA owner, their spouse, children or grandchildren . A likely better way to do all of this would be for the grandparents to contribute to a 529 college savings plan .  Most financial planners recommend the 529 over and Roth IRA when it comes to saving for collage . The total that is gradually rolled over can't exceed $35,000, and the account has to have been open for at least 15 years .  Is there a book on the origin story of the 401(k? I'm curious why pensions disappeared and how we got here with self funding retirement? Robert Brokamp: There are a few books, Karen, but I'll instead recommend a podcast episode of Motley Fool Answers .  The first 401(k was created on January 1, 1981 . It took a few years for it to catch on, but then when it did, it just took off . It's just easier for a company to move from traditional pensions to defined contribution plans .  Karen says most people, once they get to a certain age, wish they had saved more . Karen says 401(k) system is too complex for people to decide how much to save, how to invest and how to retire . Karen: It's just easier they decide, that's just too complex .  A potential new employer offers an 8% contribution of your pay after the first year . Ricky Mulvey: You should be saving probably 15% of your household income for retirement that includes the match . The days of traditional pensions just aren't coming back .  Robert Brokamp: These plans aren't very common, but are similar to a 401(k), except that the employer makes the contribution . Each company will have its own criteria, but in some cases, if the firm reaches a certain level of profitability, all eligible employees get money deposited in their accounts .  NFL players have a capital accumulation plan . Their team deposits the money, and it invests after three seasons . Withdrawals will be taxed as ordinary income and withdrawals before age 59.5 .  Ricky Mulvey: Any advice on how to stay in the NFL for more than three seasons? Robert Brokamp:I'll call up my friend Tom Brady later on, and I'll pass along what he says .  Jason Moser and Ricky Mulvey are directors of directors of Charles Schwab and The Trade Desk . The Motley Fool has positions in Alphabet, Apple, Meta Platforms, Tesla, and Uber Technologies .",neutral,"ricky, mulvey, just, google, moser"
" Apple plans to relocate the robotics team from John Giannandrea’s AI organization to the hardware division later this month . That will place it under Senior Vice President John Ternus, who oversees hardware engineering . The pending shift will mark the second major project to be removed in the past month .  The Siri engineering unit was taken over by Mike Rockwell, who previously ran hardware and software development for the Vision Pro headset . He is replacing much of the management of Siri with top deputies from the visionOS team, Bloomberg News reported this week .  The group is led by veteran executive Kevin Lynch, who has managed Apple Watch software and the now-defunct self-driving car initiative . Apple plans to release a tabletop robot that uses an artificial limb to move around an iPad-like display . For further in the future, the group has discussed building mobile machines, including a roaming robot similar to the Amazon Astro .  Ternus is in charge of hardware engineering for the iPhone, iPad, Mac, Vision Pro and most other products . He's one of Tim Cook’s most trusted lieutenants . Many employees believe he could be the next CEO .  Giannandrea has lost hundreds of engineers just this year . Apple has been reeling after major delays to key Siri features and a tepid response to the Apple Intelligence platform .  Apple’s former head of Siri under Giannandrea called the situation “ugly” and “embarrassing” at an all-hands meeting last month . The company may be preparing for a world without the executive at the helm of its AI efforts . A breakup of the AI and ML team is looking more likely, people said .",neutral,"apple, hardware, siri, ai, team"
" Apple stock is down about 18% this year, lagging the S&P 500 . BofA expects recent sales may have gotten a boost from customers buying early to beat tariffs . The tech giant is set to report earnings next Thursday .  This article first appeared on GuruFocus. giving up on its long-term potential . Giving up is not giving up the idea of giving up your investment in India .",negative,"giving, year, gotten, 500, appeared"
" Google earnings are due after the market close . Amazon, Nvidia and Tesla rallied sharply on the stock market today . Google earnings will be released at the end of the day .",neutral,"market, google, earnings, today, tesla"
" Apple plans to increase iPhone production in India by around 10% in 2025 . Company currently assembles between 30 million and 40 million iPhones annually in India . China still accounts for about 80% of iPhone production globally . Apple has faced recent hurdles in its shift to India .  Apple to boost iPhone production in India by 10% this year this year . Authentic Brands mulls rival bid for Authentic brands, according to Bloomberg .",positive,"india, iphone, apple, production, year"
" Apple's performance mirrored the broader positive movement in the Nasdaq, which saw gains led by substantial increases in chipmaker stocks . Philz Coffee recently announced the integration of App Clips to improve digital ordering, with features like seamless Apple Pay transactions, across select U.S. locations .  Over the last five years, Apple's total shareholder return reached 186.96%, reflecting significant value appreciation despite short-term market fluctuations . In the past year, Apple has outperformed the US Tech industry's 17.8% return . This integration could bolster revenue forecasts through increased device and service adoption .  Our valuation report unveils the possibility Apple's shares may be trading at a premium . Growth driven by Apple's innovations and market expansion . We aim to bring you long-term focused analysis driven by fundamental data .",positive,"apples, return, market, integration, driven"
 Apple could report strong growth in quarterly sale as buyers try to avoid tariff-related price increases . Apple is among the leading tech businesses most likely to be directly hurt by President Donald Trump’s tariffs .,negative,"apple, trumps, avoid, businesses, buyers"
" Dan Niles, Niles Investment Management founder, predicted in a CNBC program earlier this month that unlike previous market crashes, the latest market volatility of 2025 could see a quick resolution because it was “self-inflicted” Niles said his top five picks do not include any of the Mag. 7 companies, and he would remain cautious on valuations .  Play‬’s Tony Zhang in a latest program on Schwab Network explained the challenges Apple Inc (NASDAQ:AAPL) is facing . The analyst believes Apple has failed to see the expected growth from AI . Our quarterly newsletter's strategy selects 14 small-cap and large-cap stocks every quarter .  Apple is dealing with currency headwinds as the stronger US dollar is expected to reduce top-line growth by 2.5% next quarter . Columbia Seligman Global Technology Fund stated the following regarding Apple Inc. (NASDAQ:AAPL) in itsQ4 2024 investor letter: Overall, AAPLranks 5thon our list of stocks on analysts’ radar amid tariff turbulence .  If you are looking for an AI stock that is more promising than AAPL but that trades at less than 5 times its earnings, check out our report about the cheapest AI stock .",neutral,"apple, niles, ai, latest, nasdaqaapl"
" European Union fines Apple $570 million and Meta Platforms $228 million . The two companies have two months to comply or risk daily fines . Apple says it will appeal the decision and claims the EU is forcing it to give away proprietary technology .  Meta tweaked its setup in 2024 and is now in talks to ensure compliance . The fines are lower than past EU penalties, which have sometimes topped the billion-dollar mark . Alphabet and Elon Musk's X platform remain under investigation .",negative,"fines, eu, meta, million, apple"
" Google stock currently stands as a better short opportunity than some of the other Magnificent Seven companies like Apple or Microsoft . Google stock is currently a better bet than Apple, Microsoft or Apple .",positive,"apple, stock, microsoft, google, currently"
" Bank of America maintains its ""buy"" rating on Apple, but trims its price target by $10 . The tech giant is set to report earnings next Thursday after the closing bell . The stock was ticking higher as broader markets rose .  Apple's shares are down about 18% so far this year, underperforming the benchmarkS&P 500 . Research firm Vanda earlier this week noted recent net selling of Apple by retail investors .",negative,"apple, year, buy, investors, higher"
" The market expects Apple to deliver a year-over-year increase in earnings on higher revenues when it reports results for the quarter ended March 2025 . The stock might move higher if these key numbers top expectations in the upcoming earnings report, which is expected to be released on May 1 . On the other hand, if they miss, the stock may move lower .  The consensus EPS estimate for the quarter has been revised 3.64% lower over the last 30 days to the current level . Revenues are expected to be $93.56 billion, up 3.1% from the year-ago quarter . The Zacks Earnings ESP (Expected Surprise Prediction) has this insight at its core .  A positive Earnings ESP is a strong predictor of an earnings beat, particularly when combined with a Zacks Rank #1 (Strong Buy), 2 (Buy) or 3 (Hold) The model's predictive power is significant for positive ESP readings only .  For Apple, the Most Accurate Estimate is lower than the Zacks Consensus Estimate, suggesting that analysts have recently become bearish on the company's earnings prospects . This has resulted in an Earnings ESP of -0.90% . Over the last four quarters, the company has beaten consensus estimates four times .  Many stocks end up losing ground despite an earnings beat due to other factors that disappoint investors . Apple doesn't appear a compelling earnings-beat candidate . However, betting on stocks that are expected to beat earnings expectations does increase the odds of success .  Apple Inc. has been in decline for more than two years . The company is expected to beat Apple in the next few days . Apple is one of the fastest-growing tech companies in the world to date .",negative,"earnings, apple, expected, beat, esp"
" Cramer discussed potential actions by the Federal Reserve in response to President Trump’s tariffs . The CNBC TV host also stressed that the recent stock market selloff meant that the Magnificent 7, as a term, continued to be irrelevant . Cramer said that people who were alive during the Smoot-Hawley era are no longer with us .  Cramer believes AI is a winner take all, loser takes none, just like Google was, this is a 200 billion dollar business . On diplomacy, he shared that the “one thing we haven’t done yet is gunboat diplomacy.”  Apple Inc. (NASDAQ:AAPL)’s stock has lost 18% year-to-date and slipped by 23% in the days after the tariffs came into effect . Cramer has defended the company and said he's viewed as a “lapdog” for the company .  There is an AI stock that went up since the beginning of 2025, while popular AI stocks lost around 25% . If you are looking for a AI stock more promising than AAPL but that trades at less than 5 times its earnings, check out our report about thischeapest AI stock .",neutral,"stock, ai, cramer, said, lost"
" Norway’s $1.7 trillion sovereign wealth fund reported its biggest loss in six quarters . The decline was largely caused by a drop in the value of technology companies . Chief Executive Officer Nicolai Tangen said the fund will increase investments in US stocks .  Norges Bank Investment Management reported a loss of 0.6% on its investments, an equivalent of $40 billion . That was the largest decline since the third quarter of 2023 for the world’s biggest single owner of listed companies . Fixed-income investments gained 1.6%, helping the investor exceed its benchmark by 0.16 percentage point . The fund is tech-heavy, with Apple Inc., Microsoft Corp., Nvidia Corp, Alphabet Inc, Amazon.com and Meta Platforms .  NBIM is “neutral” to the US treasury market, Tangen said . The fund is mainly index-driven, there’s little room for active investment . The government deposited 78 billion kroner ($7.5 billion) into the fund during the quarter .  The rules exclude investments in companies that produce certain weapons, such as nuclear arms and cluster bombs . The fund owns stocks in more than 8,600 companies globally . Norway’s opposition Conservative Party has argued for changing the guidelines to include investments in nuclear weapons .  Men are falling behind, from classrooms to careers, from the workplace to the career stage . Men are also falling behind in India's 110% car tariffs, from China to Europe .",negative,"fund, investments, companies, billion, norways"
" Apple has spent over $695 billion on buybacks over the past decade . Lowering the share count increases the company's per-share revenue and earnings, which can drive the stock price higher . Several ""Magnificent Seven"" companies led the way in 2024 .  Apple ended its fiscal year 2024 with approximately 15.4 billion shares . That means all those buybacks over the past decade reduced the company's diluted share count by 33.5% . In 2024, it reported net income of $93.7 billion, resulting in diluted earnings per share of $6.08 . Buybacks can still drive EPS higher even if net income doesn't grow .  Apple turns roughly a quarter of each revenue dollar into free cash flow and generates a return of more than 56% on the capital it invests . Warren Buffett has called it the best business Berkshire owns . Apple is the largest holding in Berkshire Hathaway's portfolio .  Buybacks alone are not a sufficient reason for investing in a company, and Apple has not been immune to criticism . Organic growth has slowed over the past couple of years, and the company has been late in rolling out artificial intelligence features for its devices .  The Motley Fool’s total average return is 811% — a market-crushing outperformance compared to153% for the S&P 500 . Don’t miss out on the latest top 10 list, available when you joinStock Advisor .",negative,"apple, buybacks, past, billion, 2024"
